SV2	SV2
B-Actin	B-Actin
Bassoon	Bassoon
CRALBP	CRALBP
Ribeye	Ribeye
Nuclear_Pore_Complex	Nuclear_Pore_Complex
COL2A1	COL2A1
RHO	RHO
DYN1	DYN1
YAPTAZ	YAPTAZ
VGLUT1	VGLUT1
Recoverin	Recoverin
PCNA	PCNA
BRN3A	BRN3A
KCNJ10	KCNJ10
PAX6	PAX6
GLUR2	GLUR2
IMPDH1	IMPDH1
AIPL1	AIPL1
CCNE1	CCNE1
PKCa	PKCa
SOX9	SOX9
Na+_K+-ATPase	Na+_K+-ATPase
Gephyrin	Gephyrin
CHX10	CHX10
pRPS6	pRPS6
VIM	VIM
SOX2	SOX2
NFIB	NFIB
NESTIN	NESTIN
MAP2	MAP2
Tau	Tau
